"","species","HI"
"1","Hyemoschus_aquaticus",1.3
"2","Moschus_moschiferus",1.98
"3","Okapia_johnstoni",1.18
"4","Giraffa_camelopardalis",1.2
"5","Rucervus_duvauceli",2.85
"6","Rangifer_tarandus",1.52
"7","Pudu_puda",1.62
"8","Pudu_mephistophiles",1.61
"9","Ozotoceros_bezoarcticus",2.12
"10","Odocoileus_virginianus",1.23
"11","Odocoileus_hemionus",1.59
"12","Muntiacus_muntjak",1.81
"13","Hydropotes_inermis",1.84
"14","Hippocamelus_antisensis",1.94
"15","Elaphurus_davidianus",2.35
"16","Elaphodus_cephalophus",1.69
"17","Dama_dama",2.01
"18","Cervus_nippon",2.79
"19","Cervus_elaphus",2.11
"20","Capreolus_capreolus",1.49
"21","Blastocerus_dichotomus",1.49
"22","Axis_porcinus",2.53
"23","Axis_axis",2.81
"24","Alces_alces",1.34
"25","Tragelaphus_strepsiceros",2.29
"26","Tragelaphus_spekii",2.9
"27","Tragelaphus_scriptus",2.54
"28","Tragelaphus_imberbis",2.18
"29","Tragelaphus_eurycerus",1.92
"30","Tragelaphus_angasii",2.52
"31","Tetracerus_quadricornis",3.77
"32","Tragelaphus_oryx",2.91
"33","Syncerus_caffer",3.82
"34","Sylvicapra_grimmia",2.97
"35","Saiga_tatarica",5.29
"36","Rupicapra_rupicapra",4.19
"37","Redunca_fulvorufula",3.79
"38","Redunca_arundinum",3.59
"39","Rahicerus_campestris",3.44
"40","Pseudois_nayaur",5.3
"41","Procapra_gutturosa",3.9
"42","Philantomba_monticola",1.9
"43","Pelea_capreolus",4.56
"44","Pantholops_hodgsonii",4.56
"45","Ovibos_moschatus",3.69
"46","Ourebia_ourebi",3.8
"47","Oryx_gazella",3.37
"48","Oreotragus_oreotragus",3.82
"49","Oreamnos_americanus",4.95
"50","Nesotragus_moschatus",3.51
"51","Nanger_granti",3.45
"52","Litocranius_walleri",1.32
"53","Kobus_leche",3.63
"54","Kobus_ellipsiprymnus",3.47
"55","Hippotragus_niger",3.77
"56","Hippotragus_equinus",4.28
"57","Hemitragus_jemlahicus",4.95
"58","Eudorcas_rufifrons",3.77
"59","Dorcatragus_megalotis",2.93
"60","Damaliscus_pygargus",4.76
"61","Connochaetes_taurinus",4.94
"62","Connochaetes_gnou",4.75
"63","Madoqua_kirkii",2.63
"64","Cephalophus_spadix",1.95
"65","Cephalophus_silvicultor",2.23
"66","Cephalophus_dorsalis",1.15
"67","Capra_ibex",4.71
"68","Budorcas_taxicolor",3.42
"69","Bubalus_depressicornis",4.43
"70","Bubalus_bubalis",3.85
"71","Boselaphus_tragocamelus",3.03
"72","Bos_taurus",4.43
"73","Bos_javanicus",5.04
"74","Bos_gaurus",3.69
"75","Bison_bison",4.87
"76","Antilope_cervicapra",5.14
"77","Antidorcas_marsupialis",4.89
"78","Ammotragus_lervia",4.45
"79","Alcelaphus_buselaphus",5.23
"80","Aepyceros_melampus",4.89
"81","Addax_nasomaculatus",4.09
"82","Antilocapra_americana",4.61
